,open,high,low,close,candlestick_pattern,candlestick_match_count
0,39904.35000000,40032.50000000,39850.00000000,39969.54000000,NO_PATTERN,0.0
1,39976.96000000,40021.50000000,39927.30000000,39977.36000000,NO_PATTERN,0.0
2,39977.36000000,40118.00000000,39958.34000000,40087.90000000,NO_PATTERN,0.0
3,40088.32000000,40095.98000000,39979.61000000,40013.59000000,NO_PATTERN,0.0
4,40015.31000000,40063.27000000,39962.83000000,40051.13000000,NO_PATTERN,0.0
5,40050.70000000,40050.70000000,39980.00000000,40023.11000000,NO_PATTERN,0.0
6,40023.11000000,40043.30000000,39903.11000000,39940.92000000,CDLHIKKAKE_Bull,1.0
7,39941.50000000,39998.12000000,39872.70000000,39966.60000000,NO_PATTERN,0.0
8,39966.59000000,40058.99000000,39961.16000000,39990.68000000,NO_PATTERN,0.0
9,39992.00000000,40040.00000000,39936.24000000,40024.22000000,NO_PATTERN,0.0
10,40021.32000000,40217.66000000,40019.76000000,40132.69000000,CDLBELTHOLD_Bull,1.0
11,40132.69000000,40157.53000000,40086.14000000,40147.23000000,NO_PATTERN,0.0
12,40147.22000000,40173.99000000,40093.06000000,40169.31000000,CDLHIKKAKE_Bear,2.0
13,40169.65000000,40256.28000000,40144.84000000,40238.09000000,NO_PATTERN,0.0
14,40240.95000000,40474.94000000,40160.96000000,40465.77000000,CDLCLOSINGMARUBOZU_Bull,1.0
15,40463.56000000,40481.91000000,40298.34000000,40338.79000000,NO_PATTERN,0.0
16,40338.79000000,40352.00000000,40250.02000000,40261.47000000,CDLCLOSINGMARUBOZU_Bear,3.0
17,40261.46000000,40327.27000000,40218.00000000,40298.47000000,NO_PATTERN,0.0
18,40302.76000000,40302.76000000,40224.24000000,40252.07000000,CDLENGULFING_Bear,1.0
19,40252.07000000,40273.73000000,40200.00000000,40269.99000000,CDLHAMMER_Bull,2.0
20,40269.34000000,40269.37000000,40201.27000000,40234.25000000,NO_PATTERN,0.0
21,40234.25000000,40262.59000000,40200.00000000,40262.59000000,CDLHIKKAKE_Bull,1.0
22,40265.46000000,40268.85000000,40126.67000000,40189.21000000,CDLBELTHOLD_Bear,2.0
23,40189.21000000,40192.57000000,40104.56000000,40137.69000000,CDL3OUTSIDE_Bear,1.0
24,40137.69000000,40231.86000000,40134.98000000,40149.61000000,CDLLONGLEGGEDDOJI_Bull,3.0
25,40149.61000000,40263.14000000,40149.61000000,40263.14000000,CDLBELTHOLD_Bull,3.0
26,40263.14000000,40270.00000000,40194.73000000,40199.97000000,CDLCLOSINGMARUBOZU_Bear,3.0
27,40199.97000000,40321.07000000,40199.96000000,40302.98000000,CDLBELTHOLD_Bull,1.0
28,40302.98000000,40380.80000000,40286.55000000,40334.41000000,NO_PATTERN,0.0
29,40334.41000000,40334.41000000,40256.25000000,40282.77000000,NO_PATTERN,0.0
30,40282.77000000,40314.00000000,40270.63000000,40314.00000000,NO_PATTERN,0.0
31,40313.99000000,40323.53000000,40207.09000000,40253.93000000,NO_PATTERN,0.0
32,40253.92000000,40373.99000000,40234.03000000,40354.10000000,CDLENGULFING_Bull,1.0
33,40354.97000000,40355.08000000,40307.24000000,40316.15000000,NO_PATTERN,0.0
34,40316.14000000,40435.21000000,40265.00000000,40410.29000000,CDLENGULFING_Bull,1.0
35,40409.17000000,40413.65000000,40323.83000000,40374.59000000,CDLHARAMI_Bear,1.0
36,40372.58000000,40390.47000000,40355.39000000,40390.47000000,NO_PATTERN,0.0
37,40390.46000000,40427.53000000,40356.94000000,40408.36000000,CDLSPINNINGTOP_Bull,2.0
38,40403.85000000,40517.25000000,40387.36000000,40471.86000000,NO_PATTERN,0.0
39,40471.85000000,40471.86000000,40400.01000000,40449.99000000,CDLHARAMI_Bear,1.0
40,40450.00000000,40450.00000000,40355.58000000,40404.28000000,CDLHAMMER_Bull,2.0
41,40408.35000000,40800.00000000,40406.82000000,40695.93000000,CDLBELTHOLD_Bull,2.0
42,40696.86000000,40708.79000000,40575.75000000,40579.80000000,CDLCLOSINGMARUBOZU_Bear,3.0
